hour,content_count,comment_count,reply_count,like_sum,max_like
2025-09-12 22:00,16,8,8,13388,3297
2025-09-12 23:00,5,1,4,1417,527
2025-09-13 00:00,10,6,4,6519,2318
2025-09-13 01:00,8,3,5,1044,445
2025-09-13 02:00,1,1,0,49,49
2025-09-13 03:00,3,2,1,119,74
2025-09-13 04:00,1,0,1,53,53
2025-09-13 05:00,3,1,2,74,44
2025-09-13 06:00,1,0,1,16,16
2025-09-13 07:00,2,1,1,252,157
2025-09-13 08:00,2,1,1,15,15
2025-09-13 09:00,3,2,1,188,157
2025-09-13 10:00,2,1,1,0,0
2025-09-13 11:00,7,4,3,339,127
2025-09-13 12:00,9,5,4,619,354
2025-09-13 13:00,2,2,0,161,100
2025-09-13 14:00,3,2,1,76,64
2025-09-13 15:00,7,5,2,1469,689
2025-09-13 16:00,11,7,4,534,190
2025-09-13 17:00,5,4,1,96,64
2025-09-13 18:00,2,2,0,2038,2014
2025-09-13 19:00,4,4,0,1044,639
2025-09-13 20:00,2,1,1,289,193
2025-09-13 21:00,6,4,2,858,278
2025-09-13 22:00,8,7,1,4727,4525
2025-09-13 23:00,11,10,1,439,354
2025-09-14 00:00,6,6,0,654,378
2025-09-14 01:00,3,3,0,82,62
2025-09-14 02:00,4,1,3,192,84
2025-09-14 03:00,3,3,0,751,694
2025-09-14 04:00,1,1,0,42,42
2025-09-14 05:00,2,0,2,170,86
2025-09-14 06:00,1,0,1,35,35
2025-09-14 07:00,3,2,1,557,537
2025-09-14 08:00,2,1,1,20,18
2025-09-14 09:00,2,2,0,1648,1643
2025-09-14 10:00,4,3,1,212,183
2025-09-14 11:00,11,6,5,12380,3547
2025-09-14 12:00,4,4,0,6440,5203
2025-09-14 13:00,2,1,1,785,600
2025-09-14 14:00,4,1,3,4271,2678
2025-09-14 15:00,6,4,2,975,731
2025-09-14 16:00,10,2,8,12278,10287
2025-09-14 17:00,3,2,1,1946,1539
2025-09-14 19:00,5,2,3,1614,1067
2025-09-14 20:00,2,1,1,56,29
2025-09-14 21:00,5,2,3,4187,3880
2025-09-14 22:00,2,1,1,114,100
2025-09-14 23:00,4,2,2,429,380
2025-09-15 00:00,4,2,2,114,96
2025-09-15 01:00,1,1,0,7,7
2025-09-15 02:00,2,1,1,107,63
2025-09-15 04:00,1,1,0,90,90
2025-09-15 06:00,4,1,3,297,184
2025-09-15 07:00,2,2,0,848,659
2025-09-15 08:00,5,2,3,906,397
2025-09-15 09:00,5,1,4,1337,967
2025-09-15 11:00,4,2,2,406,177
2025-09-15 12:00,2,1,1,33,32
2025-09-15 13:00,8,6,2,126,81
2025-09-15 14:00,11,11,0,241,145
2025-09-15 15:00,2,2,0,16,9
2025-09-15 16:00,1,1,0,12,12
2025-09-15 17:00,2,2,0,3,3
2025-09-15 18:00,2,2,0,52,44
2025-09-15 19:00,3,3,0,16,10
2025-09-15 20:00,1,0,1,52,52
2025-09-15 21:00,1,1,0,4,4
2025-09-15 22:00,6,5,1,674,520
2025-09-15 23:00,5,4,1,302,225
2025-09-16 00:00,2,2,0,106,104
2025-09-16 01:00,1,1,0,2,2
2025-09-16 07:00,1,1,0,2,2
2025-09-16 08:00,1,1,0,116,116
2025-09-16 09:00,11,10,1,1282,743
2025-09-16 10:00,2,2,0,263,195
2025-09-16 11:00,1,0,1,30,30
2025-09-16 12:00,5,3,2,316,220
2025-09-16 13:00,5,5,0,536,404
2025-09-16 14:00,1,1,0,79,79
2025-09-16 16:00,12,12,0,626,224
2025-09-16 17:00,4,3,1,364,339
2025-09-16 18:00,5,3,2,176,76
2025-09-16 19:00,4,4,0,92,38
2025-09-16 20:00,3,1,2,135,111
2025-09-16 21:00,2,2,0,5,5
2025-09-16 22:00,1,1,0,0,0
2025-09-16 23:00,2,2,0,2,2
2025-09-17 00:00,1,0,1,13,13
2025-09-17 01:00,1,0,1,18,18
2025-09-17 09:00,2,1,1,18,16
2025-09-17 15:00,2,2,0,9,9
2025-09-17 16:00,1,1,0,173,173
2025-09-17 18:00,1,0,1,29,29
2025-09-17 19:00,1,1,0,14,14
2025-09-17 21:00,1,1,0,3,3
2025-09-18 08:00,2,2,0,6,6
2025-09-18 10:00,1,1,0,2,2
2025-09-18 11:00,1,1,0,1,1
2025-09-18 18:00,1,1,0,140,140
2025-09-18 19:00,1,1,0,6,6
2025-09-18 21:00,1,1,0,12,12
2025-09-19 12:00,2,2,0,37,37
2025-09-19 13:00,1,1,0,3,3
2025-09-19 19:00,1,0,1,14,14
2025-09-21 09:00,1,1,0,1,1
2025-09-21 19:00,1,1,0,0,0
2025-09-21 23:00,1,1,0,1,1
2025-09-22 02:00,1,1,0,5,5
2025-09-22 10:00,11,11,0,99,20
2025-09-22 13:00,1,1,0,0,0
2025-09-22 15:00,1,1,0,1,1
2025-09-22 16:00,1,1,0,5,5
2025-09-22 19:00,1,1,0,5,5
2025-09-22 21:00,3,3,0,2,2
2025-09-23 00:00,1,1,0,34,34
2025-09-23 03:00,1,1,0,1,1
2025-09-24 14:00,1,1,0,1,1
2025-09-25 16:00,1,1,0,7,7
2025-09-25 20:00,1,1,0,1,1
2025-09-27 09:00,1,1,0,1,1
2025-09-29 23:00,1,1,0,1,1
2025-10-07 02:00,1,1,0,0,0
2025-10-14 14:00,1,1,0,0,0
2025-10-31 20:00,1,1,0,0,0
2025-11-08 16:00,1,1,0,0,0
2025-11-27 11:00,1,1,0,0,0
2026-01-16 06:00,1,1,0,573,573
2026-01-16 10:00,2,1,1,557,420
2026-01-16 11:00,6,3,3,1226,791
2026-01-16 12:00,1,0,1,86,86
2026-01-16 13:00,1,0,1,32,32
2026-01-16 14:00,1,1,0,251,251
2026-01-16 16:00,1,0,1,81,81
2026-01-16 17:00,2,1,1,89,54
2026-01-16 18:00,1,0,1,101,101
2026-01-16 19:00,1,1,0,6,6
2026-01-16 21:00,1,1,0,214,214
2026-01-16 22:00,1,1,0,3,3
2026-01-16 23:00,1,0,1,30,30
2026-01-17 00:00,1,0,1,29,29
2026-01-17 03:00,2,2,0,291,288
2026-01-17 04:00,1,0,1,22,22
2026-01-17 06:00,1,0,1,64,64
2026-01-17 08:00,2,1,1,22,17
2026-01-17 09:00,1,0,1,98,98
2026-01-17 11:00,1,0,1,26,26
2026-01-17 13:00,2,1,1,293,241
2026-01-17 14:00,1,1,0,90,90
2026-01-17 15:00,1,1,0,11,11
2026-01-17 20:00,1,1,0,24,24
2026-01-17 21:00,1,0,1,18,18
2026-01-18 00:00,1,0,1,28,28
2026-01-18 05:00,1,1,0,2,2
2026-01-19 20:00,1,1,0,156,156
2026-01-25 18:00,1,1,0,0,0
2026-02-05 18:00,1,1,0,0,0
2026-05-28 03:00,1,1,0,1,1
2026-05-31 20:00,1,1,0,1,1
