source_id,source_title,source_stance,target_stance,reply_count,same_stance
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,unclear_meme,question_xibei,10,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,question_xibei,question_xibei,7,true
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,unclear_meme,unclear_meme,6,true
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,question_xibei,unclear_meme,4,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,question_xibei,neutral_discussion,2,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,unclear_meme,support_luoyonghao,1,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,question_xibei,support_luoyonghao,1,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,neutral_discussion,unclear_meme,1,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,neutral_discussion,question_xibei,1,false
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,question_xibei,neutral_discussion,2,false
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,unclear_meme,unclear_meme,10,true
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,question_xibei,question_xibei,2,true
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,question_xibei,support_xibei,1,false
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,unclear_meme,question_luoyonghao,1,false
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,unclear_meme,unclear_meme,1,true
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,unclear_meme,question_xibei,5,false
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,question_xibei,question_xibei,2,true
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,unclear_meme,unclear_meme,1,true
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,unclear_meme,unclear_meme,6,true
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,question_xibei,question_xibei,4,true
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,unclear_meme,question_xibei,3,false
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,question_xibei,unclear_meme,2,false
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,neutral_discussion,question_xibei,1,false
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,neutral_discussion,unclear_meme,1,false
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,question_xibei,question_xibei,2,true
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,unclear_meme,unclear_meme,2,true
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,unclear_meme,question_xibei,1,false
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,question_xibei,neutral_discussion,1,false
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,unclear_meme,question_xibei,12,false
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,unclear_meme,unclear_meme,7,true
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,question_xibei,question_xibei,5,true
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,question_xibei,unclear_meme,4,false
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,unclear_meme,support_xibei,2,false
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,neutral_discussion,question_xibei,1,false
bilibili_video:115208706064466,罗永浩vs西贝事件 来龙去脉 一口气看完！！！,unclear_meme,question_xibei,5,false
bilibili_video:115208706064466,罗永浩vs西贝事件 来龙去脉 一口气看完！！！,question_xibei,question_xibei,3,true
bilibili_video:115208706064466,罗永浩vs西贝事件 来龙去脉 一口气看完！！！,support_xibei,question_xibei,1,false
bilibili_video:115211222653264,罗永浩是怎么把西贝搞翻车的？,question_xibei,unclear_meme,1,false
bilibili_video:115211222653264,罗永浩是怎么把西贝搞翻车的？,question_xibei,question_xibei,1,true
bilibili_video:115212816485947,罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？,question_luoyonghao,unclear_meme,1,false
bilibili_video:115900413909566,【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！,question_xibei,question_xibei,9,true
bilibili_video:115900413909566,【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！,unclear_meme,unclear_meme,4,true
bilibili_video:115900413909566,【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！,unclear_meme,question_xibei,3,false
bilibili_video:115900413909566,【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！,neutral_discussion,unclear_meme,2,false
bilibili_video:115900413909566,【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！,question_xibei,unclear_meme,1,false
