source_id,source_title,stance_label,content_count,content_percent,is_dominant
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,question_xibei,26,49.06,true
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,unclear_meme,23,43.4,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,neutral_discussion,3,5.66,false
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,support_luoyonghao,1,1.89,false
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,question_xibei,9,40.91,true
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,unclear_meme,6,27.27,false
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,neutral_discussion,6,27.27,false
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,support_luoyonghao,1,4.55,false
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,unclear_meme,22,73.33,true
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,support_luoyonghao,4,13.33,false
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,neutral_discussion,3,10.0,false
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,question_xibei,1,3.33,false
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,unclear_meme,14,56.0,true
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,question_xibei,9,36.0,false
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,question_luoyonghao,1,4.0,false
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,support_xibei,1,4.0,false
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,question_xibei,15,53.57,true
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,unclear_meme,10,35.71,false
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,support_xibei,2,7.14,false
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,support_luoyonghao,1,3.57,false
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,unclear_meme,24,64.86,true
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,question_xibei,11,29.73,false
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,neutral_discussion,2,5.41,false
bilibili_video:115196894908031,罗永浩也是懵了，自杀式公关还是第一次见。,question_xibei,12,60.0,true
bilibili_video:115196894908031,罗永浩也是懵了，自杀式公关还是第一次见。,unclear_meme,5,25.0,false
bilibili_video:115196894908031,罗永浩也是懵了，自杀式公关还是第一次见。,neutral_discussion,3,15.0,false
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,question_xibei,12,46.15,true
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,unclear_meme,11,42.31,false
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,neutral_discussion,2,7.69,false
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,support_xibei,1,3.85,false
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,unclear_meme,27,52.94,true
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,question_xibei,21,41.18,false
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,neutral_discussion,2,3.92,false
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,support_xibei,1,1.96,false
bilibili_video:115206659249643,罗永浩与西贝争论事件原委 一条视频告诉你,question_xibei,8,61.54,true
bilibili_video:115206659249643,罗永浩与西贝争论事件原委 一条视频告诉你,unclear_meme,4,30.77,false
bilibili_video:115206659249643,罗永浩与西贝争论事件原委 一条视频告诉你,support_xibei,1,7.69,false
bilibili_video:115206827021040,罗永浩与西贝预制菜之争持续发酵，西贝自证变自爆“大翻车”，媒体评：尊重消费者知情权，自然有人为“真诚”买单,question_xibei,10,50.0,true
bilibili_video:115206827021040,罗永浩与西贝预制菜之争持续发酵，西贝自证变自爆“大翻车”，媒体评：尊重消费者知情权，自然有人为“真诚”买单,unclear_meme,9,45.0,false
bilibili_video:115206827021040,罗永浩与西贝预制菜之争持续发酵，西贝自证变自爆“大翻车”，媒体评：尊重消费者知情权，自然有人为“真诚”买单,neutral_discussion,1,5.0,false
bilibili_video:115208706064466,罗永浩vs西贝事件 来龙去脉 一口气看完！！！,question_xibei,18,62.07,true
bilibili_video:115208706064466,罗永浩vs西贝事件 来龙去脉 一口气看完！！！,unclear_meme,8,27.59,false
bilibili_video:115208706064466,罗永浩vs西贝事件 来龙去脉 一口气看完！！！,neutral_discussion,2,6.9,false
bilibili_video:115208706064466,罗永浩vs西贝事件 来龙去脉 一口气看完！！！,support_xibei,1,3.45,false
bilibili_video:115211222653264,罗永浩是怎么把西贝搞翻车的？,question_xibei,16,76.19,true
bilibili_video:115211222653264,罗永浩是怎么把西贝搞翻车的？,unclear_meme,3,14.29,false
bilibili_video:115211222653264,罗永浩是怎么把西贝搞翻车的？,neutral_discussion,2,9.52,false
bilibili_video:115212816485947,罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？,unclear_meme,13,61.9,true
bilibili_video:115212816485947,罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？,question_xibei,4,19.05,false
bilibili_video:115212816485947,罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？,neutral_discussion,2,9.52,false
bilibili_video:115212816485947,罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？,question_luoyonghao,1,4.76,false
bilibili_video:115212816485947,罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？,support_luoyonghao,1,4.76,false
bilibili_video:115245498500488,罗永浩：我这辈子没打过这么离谱的仗，对方上来先捅了自己20多刀…,unclear_meme,12,60.0,true
bilibili_video:115245498500488,罗永浩：我这辈子没打过这么离谱的仗，对方上来先捅了自己20多刀…,question_xibei,8,40.0,false
bilibili_video:115900413909566,【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！,question_xibei,22,56.41,true
bilibili_video:115900413909566,【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！,unclear_meme,15,38.46,false
bilibili_video:115900413909566,【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！,neutral_discussion,2,5.13,false
